1	1108	186333,8	82860,9686046512	0,0804836465209303	0,00405029135179215	860
2	186333,8	371559,6	264753,749190938	0,0806894484271844	0,00303097493359859	618
3	371559,6	556785,4	442491,826366559	0,0802906809067525	0,00317991400092125	311
4	556785,4	742011,2	642838,036363636	0,0800429840363636	0,00284555434734106	110
5	742011,2	927237	820788,945454545	0,0806687007090909	0,00262886524277874	55
6	927237	1112462,8	1006690,14285714	0,0802831046666667	0,00212999149595476	21
7	1112462,8	1297688,6	1200623,5	0,07937140825	0,00241910713380429	4
8	1297688,6	1482914,4	1401730,92857143	0,0804443095714286	0,00160679505901733	14
9	1482914,4	1668140,2	1531914,83333333	0,081293912	0,001220705260542	6
10	1668140,2	1853366	1853366	0,085629606	0	1

