1	35 - 162829.4	62159.607748184	42.4237288135593	5.5581555499771	413	
2	162829.4 - 325623.8	236615.062913907	47.4834437086093	4.82042330673384	302	
3	325623.8 - 488418.2	402415.875	49.1822916666667	5.06654662943747	192	
4	488418.2 - 651212.6	550503.3	50.8333333333333	5.24139506450546	60	
5	651212.6 - 814007	733512.677419355	49.9677419354839	5.52696539830385	31	
6	814007 - 976801.4	897088.166666667	53.4166666666667	5.85175662135364	12	
7	976801.4 - 1139595.8	1085042	48	0	1	
8	1139595.8 - 1302390.2	1206562.75	52	4.30116263352131	4	
9	1302390.2 - 1465184.6	1391370.33333333	48.6666666666667	0.471404520790978	3	
10	1465184.6 - 1627979	1564139.42857143	48.1428571428571	2.09956263667127	7	


